SEQPRODUTO;DESCCOMPLETA;CODACESSO;QTDEMBALAGEM;NIVEL 0;NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;NIVEL 5;NIVEL 6;NIVEL 7
341;USO TOALHA PAPEL EXCLUIR EXCLUIR;7891049004936;1;GERAL;ALMOXARIFADO USO GERAL;PRODUTOS CONSUMO;MATERIAL USO CONSUMO;MATERIAL USO CONSUMO;MATERIAL USO CONSUMO;MATERIAL USO CONSUMO;MATERIAL USO CONSUMO
363;ADITIVO OLEO RADNAQ 500ML SMOKE;7898173500969;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;OUTROS
364;ADITIVO RADIADOR R2 1L SUPERCONCENT;7899817313501;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;OUTROS
365;ADITIVO RADIADOR R2 1L AZUL;7899817312696;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;OUTROS
366;AGUA BATERIA GITANES 1L;7897771500241;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
367;ANEL DE VEDACAO;7896038100804;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;ANEL BOBINA;ANEL BOBINA
368;AROMAT AROMACAR 100ML TUTTI FRUTTI;7898104150010;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
370;AROMAT AROMACAR 7G SACHET LAVANDA;7898104150652;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
371;AROMAT AROMACAR SPRAY 90ML;7898104150232;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
372;AROMAT AROMACAR 7G SACHET MORANGO;7898104150676;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
373;AROMAT AROMACAR 7G SACHET SENSUAL;7898104150645;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
374;AROMAT AROMACAR BIG APPLE;7890000000185;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
374;AROMAT AROMACAR BIG APPLE;742832360241;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
